"course_title","code","subject","description"
"Honors Thesis in Physics II","PHYSICS H196B","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Prerequisite:PHYSICS H196AOverlaps withPHYSICS 196B.Restriction: Physics Majors only. Campuswide Honors Collegium students only. Honors Program in Physics students only."
"Honors Thesis in Physics III","PHYSICS H196C","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Prerequisite:PHYSICS H196BOverlaps withPHYSICS 196C.Restriction: Physics Majors only. Campuswide Honors Collegium students only. Honors Program in Physics students only."
"Impact of World War I on Science","PHYSICS H80","PHYSICS - Physics and Astronomy","Introduction to science in 1914 and WWI. Participants in groups of two or three will pick a preferred science; find out what happened to it during and after the war; write reports and present what they learned.Restriction: Campuswide Honors Collegium students only.(II)"
"The Idiom and Practice of Science","PHYSICS H90","PHYSICS - Physics and Astronomy","A series of fundamental and applied scientific problems of social relevance. Possible topics include Newton's Law, calculus, earthquake physics, and radiation.Restriction: Campuswide Honors Collegium students only.(II and Va )."
"Special Topics in Social Behavior","PSCI 100","PSCI - Psychological Science","Course content varies with interest of instructor.Repeatability: Unlimited as topics vary.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Life Span Developmental Psychology","PSCI 101D","PSCI - Psychological Science","Addresses the major issues, concepts, and methods of life span developmental psychology. The fundamental theories, distinctive methods, and the physical, perceptual, cognitive, social, motivational, and emotional development for each developmental phase of the life course are considered.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment."
"Abnormal Psychology","PSCI 102C","PSCI - Psychological Science","Survey of disorders organized by the diagnostic categories of the American Psychiatric Association. Interdisciplinary orientation combines environmental, psychological, and organic perspectives on etiology and treatment.Prerequisite: Recommended: (PSCI 9orPSCI 11CorPSYC 7AorPSYC 9C) andSE 10.Overlaps withPSYC 120A.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment."
"Health Psychology","PSCI 103H","PSCI - Psychological Science","Theory and research are considered as they contribute to an understanding of the role of psychological processes in health and illness. The distinction between prevention and treatment of illness is established, and a variety of psychosocial interventions are elaborated.Prerequisite: Recommended:PSCI 9orPSCI 11CorPSYC 7AorPSYC 9C.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment."
"Social Animal: An Introduction to Social Psychology","PSCI 104S","PSCI - Psychological Science","Theories and research exploring social behavior and social influences on behavior. Topics include methods of social research, attitude formation and change, social perception, the social self, stereotypes and prejudice, conformity, obedience, altruism, aggression, interpersonal relationships and love, and group behavior.Prerequisite: Recommended:PSCI 9orPSCI 11CorPSYC 7AorPSYC 9C.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment."
"Infant Development","PSCI 110D","PSCI - Psychological Science","Study of human development from conception through the first two years of life, covering processes and events in the domains of physical, social, and cognitive development.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Child Development","PSCI 111D","PSCI - Psychological Science","Examines social, emotional, and intellectual growth and development between the ages of 2 and 12 years.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Overlaps withPSYC 120D.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Advanced Research Methods","PSCI 111W","PSCI - Psychological Science","For students planning to conduct senior research projects or apply to graduate school in social research fields. Topics include reviewing literature, preparing a research proposal, protecting human subjects, citing scholarly work, building measures, estimating sample size, interview and presentation skills.Prerequisite:SE 10andSE 13. Satisfactory completion of the Lower-Division Writing requirement.Same asCLS C169W,SE 111W,UPPP 114W.(Ib)"
"Adolescent Development","PSCI 112D","PSCI - Psychological Science","Examines current research on the biological, social, and cultural contexts of adolescent development. Topics include the impacts of puberty, adolescents' decision-making competencies, changes in family and peer relationships, identity development, and psychosocial problems such as depression and problem behavior.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Overlaps withPSYC 21A.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Adult Development","PSCI 113D","PSCI - Psychological Science","Examines why and how we change (with attention to gains as well as losses) from ages 18-65 and the nature and sources of continuity over time. Topics include physical and intellectual functioning, personality, coping strategies, and social roles and relationships.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Cognitive Development","PSCI 115D","PSCI - Psychological Science","Examines theories on nature of cognitive development. Discusses behaviorist theories on role of the environment including those of Vygotsky and Piaget, and recent evidence from cognitive psychologists stressing the importance of knowledge and skills within specific domains.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Human Development and Cross-Cultural Perspectives","PSCI 116D","PSCI - Psychological Science","Human development in diverse cultures (e.g., Asian, American, and African). Special emphasis on East-West contrasts and when East meets West (i.e., Asian-American experiences). Topics include parenting, family relations, language and cognition, schooling and academic achievement, and morality.Prerequisite: Recommended: (PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B) andSE 10.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Human Sexuality","PSCI 118D","PSCI - Psychological Science","A broad survey of human sexuality encompassing genetic factors, physiological and anatomical development, customary and atypical forms of behavior, reproductive processes, and cultural determinants.Prerequisite: Recommended:PSCI 9orPSCI 11BorPSYC 7AorPSYC 9B.Restriction: Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment."
"Psychology Fundamentals","PSCI 11A","PSCI - Psychological Science","Part of a three-course series that provides a comprehensive introduction to psychology. Required for students majoring in Cognitive Sciences, Psychological Science, and Psychology. Topics include the science of psychology, research methods, biology and behavior, consciousness, sensation, and perception.Same asPSYC 9A.Restriction: Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment.PSCI 9andPSYCH 7Amay not be taken for credit if taken afterPSCI 11A,PSCI 11B,PSCI 11C,PSYCH 9A,PSYCH 9B, orPSYCH 9C.(III)"
"Psychology Fundamentals","PSCI 11B","PSCI - Psychological Science","Part of a three-course series that provides a comprehensive introduction to psychology. Required for students majoring in Cognitive Sciences, Psychological Science, or Psychology. Topics include learning and memory, thinking, language and intelligence, human development, emotion, and motivation.Same asPSYC 9B.Restriction: Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.(III)"
