"code","level","title","description","credits"
"HTHRHSC 4193","Undergraduate","Undergraduate Independent Study","Guided study of selected topics.
Repeatable to a maximum of 15 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 3"
"HTHRHSC 3400","Undergraduate","Introduction to Health Promotion and Disease Prevention","An introduction to health promotion with an emphasis on the issues and factors that impact and influence health of individuals, groups and societies demonstrating the role of disciplinary research on identifying and addressing issues of health and health promotion.
GE theme health and well-being course.",3
"HTHRHSC 4000","Undergraduate","Application of Ethical Decision Making in Health Care","Participation in this course will include ongoing examination of ethical theories, bioethical principles, personal ethics, and an ethical decision-making process for application in the allied health professions. Ethics as it contributes to the definition of citizenship will be explicitly explored.
GE theme citizenship for div and just wrld course.",3
"HTHRHSC 4998H","Undergraduate","Honors Undergraduate Research in Health Science","Guided research by undergraduate honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 15 cr hrs or 15 completions. This course is graded S/U.","1 - 5"
"HTHRHSC 5900E","Undergraduate","Health Sciences Research: Interpretation and Applications","Overview of research in the Health Sciences. This course is intended to prepare students to be educated consumers of research and to enable them to find, understand, interpret, and apply research findings in their professional practice.
Prereq: Honors standing.",3
"HTHRHSC 5510","Graduate","Pharmacological Aspects of Practice in Health and Rehabilitation Sciences","Fundamentals of pharmacokinetics, pharmacodynamics, drug law, selected medications and treatment methods utilized by allied health professionals. Prior completion of HthRhSc 5500 is recommended.
Prereq: EEOB 2520 or Physio 3200, or Grad standing, or permission of instructor.",2
"MEDLBS 5089","Undergraduate","Clinical Practice in Medical Laboratory Science","Application of medical laboratory technique under supervision in clinical laboratories or other non-hospital laboratory settings.
Prereq: All courses required in the Medical Laboratory Science Certification curriculum except 5600 and 5350. Repeatable to a maximum of 20 cr hrs or 4 completions. This course is graded S/U.","1 - 10"
"RADSCI 3414","Undergraduate","Radiation Therapy Equipment and Instrumentation","An introduction to the terminology, treatment charting, simulation, beam alignment, machine components, and the technical aspects of treatment in a clinical environment.
Prereq: Enrollment in RadSci, or permission of instructor. This course is available for EM credit.",4
"RADSCI 4489","Undergraduate","Radiation Therapy Practicum IV","Clinical application of patient care, simulation, treatment, brachytherapy and treatment planning procedures performed in Radiation Therapy. Emphasis is directed toward machine function, patient set up and variation in procedures.
Prereq: 3289, 3389, and 4389, and Enrollment in RadSci; or permission of instructor. Repeatable to a maximum of 10 cr hrs or 20 completions. This course is available for EM credit.","1 - 10"
"RADSCI 3425","Undergraduate","Radiographic Imaging I","Investigation of the principles of radiation production, radiation protection and radiologic image formation.
Prereq: Enrollment in RadSci, or permission of instructor. Not open to students with credit for 425 or RadTech 425. This course is available for EM credit.",3
"RADSCI 4670","Undergraduate","Radiobiology and Radiation Protection","Principles of cellular biology and the reactions from types of ionizing radiation specific to radiation sciences. Emphasis is on effects from radiation exposure, radiation safety and the radiation protection standards utilized in radiation sciences.
Prereq: Enrollment in RadSci, or permission of instructor. This course is available for EM credit.",2
"HIMS 3520","Undergraduate","Fundamentals of Health Information Management","Introduction to the Health Information Management (HIM) profession, medical record/health information content and systems, clinical documentation requirements, storage and retrieval systems, the U.S. healthcare delivery system, accreditation and regulatory standards, the electronic health record, HIM ethical issues, and current HIM topics.
Prereq: Enrollment in HIMS, or permission of instructor.",4
"RADSCI 3411","Undergraduate","Radiographic Procedures I","Principles of radiography of the chest, bronchial tree, abdomen, alimentary tract, and appendicular skeleton, with application in the laboratory.
Prereq: Enrollment in RadSci, or permission of instructor. This course is available for EM credit.",3
"RADSCI 4615","Undergraduate","Radiographic Clinical Correlations","The fundamentals of radiographic diagnosis are explored with an emphasis on the correlations of the patient's medical history with radiographic findings.
Prereq: Enrollment in RadSci, or permission of instructor. This course is available for EM credit.",3
"HTHRHSC 5500","Graduate","Introduction to Pathophysiology","Fundamental concepts of pathophysiology including etiology, signs, symptoms, diagnosis, treatment, and complications of major body system disorders.
Prereq: EEOB 2520, Physio 3102, 3200, or permission of instructor.",4
"HTHRHSC 5900","Undergraduate","Health Sciences Research: Interpretation and Applications","Overview of research in the Health Sciences. This course is intended to prepare students to be educated consumers of research and to enable them to find, understand, interpret, and apply research findings in their professional practice.",3
"MEDLBS 5050","Undergraduate","Medical Laboratory Hematology","Theory and application of clinical laboratory procedures used to identify and evaluate the formed elements of the blood and hemostatic mechanisms in health and disease.
Prereq: Enrollment in Medical Laboratory Science program or Medical Laboratory Science certificate program, or permission of instructor.",5
"HTHRHSC 4193H","Undergraduate","Undergraduate Independent Study","Guided study of selected topics.
Prereq: Honors standing, and enrollment in HthRhSc; or permission of instructor. Repeatable to a maximum of 15 cr hrs or 15 completions. This course is progress graded (S/U).","1 - 3"
"HTHRHSC 6700","Graduate","Global Aging","Study of health and well-being of older adults in developed and developing countries and immigrant communities in the United States.",3
"ARCH 4999H","Undergraduate","Architecture Honors Design Studio","Topical research/design projects in architecture. Honors section.
Prereq: Honors standing, and major within the Knowlton School of Architecture. Not open to students with credit for 784H.",6
"ARCH 4193","Undergraduate","Independent Studies in Architecture","For students who wish to pursue special independent studies in architecture with the guidance of an advisor/instructor.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 5 completions. This course is graded S/U.","1 - 15"
"CRPLAN 3500","Undergraduate","The Socially Just City","Too many cities are split between the haves and the have-nots. Explore how to reduce poverty, increase access to public services, and create a high quality of life for all residents.
GE soc sci orgs and polities and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"KNOW 1100","Undergraduate","Knowlton Survey","Introduction to the University, the Knowlton School of Architecture, and the disciplines of architecture,landscape architecture, and city and regional planning.
Prereq: Not open to students with credit for Arch 1100, LArch 1100, CRPlan 1100, or any survey course.",1
